Name,Instructor,Location,Time,Day
Computer Applications - 10621 - CSC 201 - 11,TBA,Sage Hall 309,9:00 am - 9:50 am,M
Computer Applications - 10622 - CSC 201 - 12,TBA,Sage Hall 309,10:00 am - 10:50 am,M
Computer Applications - 10623 - CSC 201 - 13,TBA,Sage Hall 309,11:00 am - 11:50 am,M
Computer Applications - 10624 - CSC 201 - 14,TBA,Sage Hall 309,12:00 pm - 12:50 pm,M
Computer Applications - 10625 - CSC 201 - 15,TBA,Sage Hall 309,9:30 am - 10:20 am,T
Computer Applications - 10626 - CSC 201 - 16,TBA,Sage Hall 309,11:00 am - 11:50 am,T
Computer Applications - 10627 - CSC 201 - 17,TBA,Sage Hall 309,9:00 am - 9:50 am,W
Computer Applications - 10628 - CSC 201 - 18,TBA,Sage Hall 309,10:00 am - 10:50 am,W
Computer Applications - 10629 - CSC 201 - 19,TBA,Sage Hall 309,11:00 am - 11:50 am,W
Computer Applications - 10630 - CSC 201 - 20,TBA,Sage Hall 309,12:00 pm - 12:50 pm,W
Computer Applications - 10631 - CSC 201 - 21,TBA,Sage Hall 309,9:30 am - 10:20 am,R
Computer Applications - 10632 - CSC 201 - 22,TBA,Sage Hall 309,11:00 am - 11:50 am,R
Computer Applications - 10633 - CSC 201 - 23,TBA,Sage Hall 309,9:00 am - 9:50 am,F
Computer Applications - 10634 - CSC 201 - 24,TBA,Sage Hall 309,10:00 am - 10:50 am,F
Computer Applications - 10635 - CSC 201 - 25,TBA,Sage Hall 309,11:00 am - 11:50 am,F
Computer Applications - 10636 - CSC 201 - 26,TBA,Sage Hall 309,12:00 pm - 12:50 pm,F
Computer Applications - 10637 - CSC 201 - 31,TBA,Block A Building 401,3:00 pm - 3:50 pm,M
Computer Applications - 10638 - CSC 201 - 32,TBA,Block A Building 401,3:00 pm - 3:50 pm,W
Computer Applications - 10639 - CSC 201 - 33,TBA,Block A Building 401,1:00 pm - 1:50 pm,M
Computer Applications - 10640 - CSC 201 - 34,TBA,Block A Building 401,1:00 pm - 1:50 pm,F
Computer Applications - 10641 - CSC 201 - 35,TBA,Block A Building 401,12:00 pm - 12:50 pm,W
Computer Applications - 10642 - CSC 201 - 36,TBA,Block A Building 401,11:00 am - 11:50 am,T
Computer Applications - 10643 - CSC 201 - 37,TBA,Block A Building 401,12:00 pm - 12:50 pm,M
Intr. Object Oriented Program. - 10644 - CSC 243 - 11,TBA,Nicol Hall 404,9:00 am - 9:50 am,MWF
Intr. Object Oriented Program. - 10645 - CSC 243 - 12,TBA,Nicol Hall 520,9:00 am - 9:50 am,MWF
Intr. Object Oriented Program. - 10646 - CSC 243 - 13,TBA,Nicol Hall 502,11:00 am - 11:50 am,MWF
Intr. Object Oriented Program. - 10647 - CSC 243 - 14,TBA,Nicol Hall 520,11:00 am - 11:50 am,MWF
Intr. Object Oriented Program. - 10648 - CSC 243 - 15,TBA,Nicol Hall 502,11:00 am - 12:15 pm,TR
Intr. Object Oriented Program. - 10649 - CSC 243 - 16,TBA,Nicol Hall 520,11:00 am - 12:15 pm,TR
Intr. Object Oriented Program. - 10650 - CSC 243 - 31,Joseph Toufic Khalifeh (P),Zakhem Hall 0503,1:00 pm - 1:50 pm,MWF
Intr. Object Oriented Program. - 10651 - CSC 243 - 32,Joseph Toufic Khalifeh (P),Zakhem Hall 0404,2:00 pm - 3:15 pm,TR
Introduction to Object-Oriented Programming Lab - 10652 - CSC 243B - 11A,TBA,TBA,2:00 pm - 4:59 pm,R
Introduction to Object-Oriented Programming Lab - 10653 - CSC 243B - 11B,TBA,TBA,2:00 pm - 4:59 pm,R
Introduction to Object-Oriented Programming Lab - 10654 - CSC 243B - 12A,TBA,TBA,2:00 pm - 4:59 pm,R
Introduction to Object-Oriented Programming Lab - 10655 - CSC 243B - 12B,TBA,TBA,2:00 pm - 4:59 pm,R
Introduction to Object-Oriented Programming Lab - 10656 - CSC 243B - 13A,TBA,TBA,2:00 pm - 4:59 pm,R
